item_description_expanded,count,avg_error,avg_abs_pct_error
PLASTIC PAVEMENT MARKING (STOP LINE),519,0.8773197394120661,27.511740284312683
"ENHANCED FLATLINE THERMOPLASTIC PAVEMENT MARKING (6"" LINE)",481,628.3780325878022,37.440256220467724
SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIRECTIONAL) (1 COLOR),419,6.643909158124118,23.573055546897947
REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,373,6.278064807940233,36.02107895603375
"PAINTED PAVEMENT MARKING (6"" LINE)",357,76.20066383850892,32.11104537802051
PLASTIC PAVEMENT MARKING (CHANNELIZATION STRIPING),353,3.9862474077288486,22.8076937222131
PLASTIC PAVEMENT MARKING (TURN LANE ARROW),341,-19.962520619448735,20.40176233451572
SNOWPLOWABLE RAISED PAVEMENT MARKERS (MONO-DIRECTIONAL) (1 COLOR),248,-1.833016204536286,24.32373071349408
SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIRECTIONAL) (2 COLOR),211,4.702446236452516,25.00851230217948
"PAINTED PAVEMENT MARKING (4"" LINE)",189,239.22947519112063,28.4118912976801
