Proposal_ID,Letting_Date
CNN089,20140124
CNN148,20140314
CNN208,20140501
CNN224,20140502
CM1401,20150313
CNQ152,20160225
CNQ219,20160610
CNQ286,20160819
CMGC02,20171115
DB1601,20171215
CNS166,20180220
CNS227,20180327
CNS233,20180511
DB1701,20180713
CNS372,20181129
DB1801,20181130
CNT074,20190104
CNT275,20190223
CNT274,20190223
CNT269,20190223
CNT131,20190227
CNT132,20190301
CNT366,20190401
CNT219,20190405
CNT301,20190714
DB1802,20191018
CMGC03,20200131
DB2001,20201204
CNV170,20210310
CNV207,20210413
ER2101,20210517
CNW083,20220112
ER2201,20220610
CNW333,20220812
CNW342,20220818
CMGC04,20221026
CNX271,20230523
CMGC05,20240126
CNY178,20240521
CMGC06,20240906
DB2401,20250124
PD2402,20250128
CNZ245,20250625
